title,description,location,work_type
Delivery Driver (03806) - 6696 Coral Way,"Job Description

Delivery Drivers are responsible for delivering food to customers with excellent customer service and a positive attitude.

Why deliver for us:
Great pay - Our drivers receive a competitive hourly wage (No tip Credit) + Tips Cash Daily + Mileage = GREAT HOURLY RATE. Also, you get pay while not driving. Benefits - All team members are eligible for benefits (eligibility for certain benefits dependent on approximate hours worked per week)Schedule - Flexible scheduling and opportunities for overtimePerks - Discounts on menu items, a safe work environment, and opportunities for Career growth and advancement

What we’re looking for in our Delivery Drivers:
Ability to maintain food and team member safetyExcellent customer service skillsAbility to operate store technologyAbility to assist with store operationsAbility to operate and troubleshoot technology

Qualifications

Minimum job requirements:
Valid driver’s license with safe driving record meeting company standardsAccess to an insured vehicle that can be used for deliveriesMust be at least 18 years of age with one (1) year of driving historyDemonstrates ability to maintain food and team member safety 

Additional Information

Domino's Team USA stores value honesty, transparency, and accountability, and we want exceptional people like you to join our team! We have continued to prove we “Put our People First” by making sure our work environment is safe and provides stability for our team members.","Miami, FL",FULL_TIME
Administrator,"About Wipro:

Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. We leverage our holistic portfolio of capabilities in consulting, design, engineering, operations, and emerging technologies to help clients realize their boldest ambitions and build future-ready, sustainable businesses. A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 250,000 dedicated employees serving clients across 66 countries. We deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world.

A PROUD HISTORY OF OVER 75 YEARSFY22 REVENUE 10.4 BN USDWE’RE PRESENT IN 66 COUNTRIESOVER 1,400 ACTIVE GLOBAL CLIENTS

Role: Tech Support - Desktop, Field Services

Location : Los Angeles, CA/ Remote

TOP REQUIREMENTS: Customer Service, IT skills & experience, technical troubleshooting

What are the top 5-10 responsibilities for this position?

 Provide IT laptop and desktop support for Windows devices to include software installations and end user data migrations Consistently exhibits behavior and strong communication skills that demonstrate commitment to superior customer service, including quality, care and concern with each and every internal and external customer Ensures proper ticket communication protocol including announcing arrival, work performed, status and departure

What software tools/skills are needed to perform these daily responsibilities?

 Knowledge of remote assistance tools, Active Directory, Citrix, VPN, LAN and WAN Ability to problem-solve and resolve issues in a ticket management system in accordance with service level agreements Strong interpersonal skills and ability to coordinate/collaborate with other technical teams to resolve issues and determine problem resolution 1 - 3 years of experience in customer service and IT

What skills/attributes are nice to have?

 2 years’ experience Microsoft Software Office Suite Knowledge of Active Directory, Citrix, Microsoft SCCM

Wipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law.

Desktop Support","Minneapolis, MN",FULL_TIME
Mental Health Professional,"You Belong Here.
At MultiCare, we strive to offer a true sense of belonging for all our employees. Across our health care network, you will find a dynamic range of meaningful careers, opportunities for growth, safe workplaces, and flexible schedules. We are connected by our mission - partnering and healing for a healthy future - and dedicated to the health and well-being of the communities we serve.
FTE:: 1, Shift: : Day, Schedule: Day Shift
Position Summary
The Mental Health Professional is an exciting clinical opportunity responsible for counseling and case management service. In this role, you will maintain a patient caseload, providing intervention within established treatment guidelines, policies and procedures. The position offers you the ability to actively advocate on behalf of your patients.
Responsibilities
You will provide person-centered counseling, advocacy and case management for patientsYou will develop treatment plans which clearly identify the patient’s voice, treatment strategies, and specific outcome measuresYou will meet agency documentation standards and authorization requirements of contractsYou will strategically tailor effective clinical/case management services to meeting diverse patient needsYou will contribute to the success of MultiCare expectations and core values, continuously learning, and performing other duties as needed or assigned
Requirements
Designated as a Mental Health Professional as defined in the WAC 388-865-0238 for Behavioral Health organizations required:A psychiatrist, psychologist, psychiatric nurse or social worker as defined in chapters 71.05 and 71.34 RCW;A person who is licensed by the department of health as a mental health counselor, mental health counselor associate, marriage and family therapist, or marriage and family therapist associate;A person with a master's degree or further advanced degree in counseling or one of the behavioral sciences from an accredited college or university. Such person shall have, in addition, at least two years of experience in direct treatment of persons with mental illness or emotional disturbance, such experience gained under the supervision of a mental health professional;A person who meets the waiver criteria of RCW 71.24.260, which was granted prior to 1986Previous experience providing mental health counseling services preferredCurrent Washington state driver’s license and proof of a safe driving record (which meets established MultiCare Standards) obtained by a motor vehicle report from the appropriate state
Our Values
As a MultiCare employee, we'll rely on you to reflect our core values of Respect, Integrity, Stewardship, Excellence, Collaboration and Kindness. Our values serve as our guiding principles and impact every aspect of our organization, including how we provide patient care and what we expect from each other.
Why MultiCare?
Mission-driven: Partnering for healing and a healthy futureMarket Leadership: Washington's largest community-based, locally governed health systemTechnology: ""Most Wired"" healthcare system 10 years in a rowEmployee-centric: Named Forbes ""America's Best Employers by State"" in 2021Lifestyle: Live and work in the Pacific Northwest - offering breathtaking water, mountain, and forest at every turn
Pay and Benefit Expectations
MultiCare provides a comprehensive benefits package, including competitive salary, medical, dental and retirement benefits and paid time off. As required by various pay transparency laws, MultiCare shares a competitive range of compensation for candidates hired into each position. The starting pay for this position is $55,280.00 and the pay scale is $55,280.00 - $79,541.00 USD. However, pay is influenced by factors specific to applicants, including but not limited to: skill set, level of experience, and certification(s) and/or education. If this position is associated with a union contract, pay will be reflective of the appropriate step on the pay scale to which the applicant’s years of experience align.
Associated benefit information can be viewed here.","Spokane, WA",FULL_TIME
Mental Health Professional,"You Belong Here.
At MultiCare, we strive to offer a true sense of belonging for all our employees. Across our health care network, you will find a dynamic range of meaningful careers, opportunities for growth, safe workplaces, and flexible schedules. We are connected by our mission - partnering and healing for a healthy future - and dedicated to the health and well-being of the communities we serve.
FTE:: 1, Shift: : Day, Schedule: Day Shift
Position Summary
The Mental Health Professional is an exciting clinical opportunity responsible for counseling and case management service. In this role, you will maintain a patient caseload, providing intervention within established treatment guidelines, policies and procedures. The position offers you the ability to actively advocate on behalf of your patients.
Responsibilities
You will provide person-centered counseling, advocacy and case management for patientsYou will develop treatment plans which clearly identify the patient’s voice, treatment strategies, and specific outcome measuresYou will meet agency documentation standards and authorization requirements of contractsYou will strategically tailor effective clinical/case management services to meeting diverse patient needsYou will contribute to the success of MultiCare expectations and core values, continuously learning, and performing other duties as needed or assigned
Requirements
Designated as a Mental Health Professional as defined in the WAC 388-865-0238 for Behavioral Health organizations required:A psychiatrist, psychologist, psychiatric nurse or social worker as defined in chapters 71.05 and 71.34 RCW;A person who is licensed by the department of health as a mental health counselor, mental health counselor associate, marriage and family therapist, or marriage and family therapist associate;A person with a master's degree or further advanced degree in counseling or one of the behavioral sciences from an accredited college or university. Such person shall have, in addition, at least two years of experience in direct treatment of persons with mental illness or emotional disturbance, such experience gained under the supervision of a mental health professional;A person who meets the waiver criteria of RCW 71.24.260, which was granted prior to 1986Previous experience providing mental health counseling services preferredCurrent Washington state driver’s license and proof of a safe driving record (which meets established MultiCare Standards) obtained by a motor vehicle report from the appropriate state
Our Values
As a MultiCare employee, we'll rely on you to reflect our core values of Respect, Integrity, Stewardship, Excellence, Collaboration and Kindness. Our values serve as our guiding principles and impact every aspect of our organization, including how we provide patient care and what we expect from each other.
Why MultiCare?
Mission-driven: Partnering for healing and a healthy futureMarket Leadership: Washington's largest community-based, locally governed health systemTechnology: ""Most Wired"" healthcare system 10 years in a rowEmployee-centric: Named Forbes ""America's Best Employers by State"" in 2021Lifestyle: Live and work in the Pacific Northwest - offering breathtaking water, mountain, and forest at every turn
Pay and Benefit Expectations
MultiCare provides a comprehensive benefits package, including competitive salary, medical, dental and retirement benefits and paid time off. As required by various pay transparency laws, MultiCare shares a competitive range of compensation for candidates hired into each position. The starting pay for this position is $55,280.00 and the pay scale is $55,280.00 - $79,541.00 USD. However, pay is influenced by factors specific to applicants, including but not limited to: skill set, level of experience, and certification(s) and/or education. If this position is associated with a union contract, pay will be reflective of the appropriate step on the pay scale to which the applicant’s years of experience align.
Associated benefit information can be viewed here.","Spokane, WA",FULL_TIME
Clinic Managers - Physical Therapist,"Salary Range: Highly Competitive! - Salary Range$91,010.65 to $117,510.65 annually + Production Incentive + Benefits. Individual salaries are dependent on experience and job-related factors.
One-on-One model |$8,500 Sign-On Bonus | Clinical Pathways | $2,000 CEU | $8,500 Yearly Incentives! |APTA Accredited Orthopedic, Sports Residency, and Manual Therapy Fellowship Programs |Structured clinical mentorship
JOB TITLE: Clinic Managers
LOCATION: Puyallup, WA (East Main & South Hill clinics)
WORK SCHEDULE: 4x10 or 5x8 between 7:20 AM - 6:00 PM
Clinic Managers are responsible for the day-to-day operations of the clinic, including, but not limited to, patient care, personnel management, physician relations, and financial management.
We offer competitive salaries, great benefits, and an $8,500 Sign-On bonus. OSS is seeking a Physical Therapist with at least 2 years of outpatient orthopedic experience, leadership skills, a desire to learn and practice advanced management skills, a keen interest in leading a successful outpatient orthopedic clinic, and the capacity to create a great place to work. Candidates with prior clinic management experience are preferred.
Why Choose Us
One of OSS's strengths is manager mentorship. Every manager is partnered with an experienced management mentor from day one. The partnership is perpetual, providing ongoing expert mentoring. New managers also complete a year-long, multi-course manager mentorship curriculum, offering hands-on skill development and a deep and broad understanding of practice management.
OSS does not require candidates to be experienced in all aspects of the managerial job but rather demonstrate the interest and capacity to excel.
Clinic Managers at OSS are also afforded extraordinary professional opportunities. Our managers direct a variety of clinical programs as diverse as Pelvic Health and Industrial Rehabilitation, are leaders of our multi-faceted clinical education programming, which includes residency and fellowship programs, are the cornerstone of our national recruiting strategy, and are a big part of our events and promotions, to name a few examples. It is a fun, diverse professional life defined by great people and, most notably, an extraordinary group of fellow managers.
OSS Commitment Of Clinical Excellence
At OSS, the pursuit of clinical excellence and the commitment to teaching and learning defines our culture. In addition, this culture is characterized by: Our APTA Accredited mentorship and residency programs and the other continuing education opportunities that set us apart...
Structured clinical mentorship for therapists (Includes a year-long core curriculum of classes)Industry-leading Continuing Education funds for all therapistsPerpetual calendar of clinical education courses and workshops by leading clinical educatorsIn-house educational calendar (Includes multiple nationally renowned courses each year)American Physical Therapy Association Accredited Orthopedic and Sports Residency and Manual Therapy Fellowship Programs.
One-On One‍
One-On-One is not just a ""tagline."" we treat one patient at a time, all the time. We do not double-book appointments. Most therapy practices routinely double-book patients and, in turn, rely on aides or techs to provide care. Sure, your therapy progress reports will always come from the therapist, but that doesn't mean the therapist delivered the care. At Olympic Sports & Spine, every patient is treated by a licensed rehabilitation professional at every visit.
Benefits
https://www.osstherapy.com/employee-benefitsMatching 401K, medical, paid, sick, vacation, and holidays.Advancement opportunitiesFlexibility within the work scheduleCompany-wide celebrations and events!
Equal Opportunity Statement
We are an equal opportunity employer and value diversity at our company. We do not discriminate based on age, ancestry, citizenship, color, ethnicity, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or invisible disability status, political affiliation, veteran status, race, religion, or sexual orientation.
Minimum Qualifications
Degree in Physical Therapy from an institution accredited by Commission on Accreditation in Physical Therapy Education  Minimum of 2 years of experience as a Physical Therapist in an outpatient, orthopedic setting.  Demonstration of leadership roles/activity in previous position(s)Current State Physical Therapist License (or license applicant status) 5. Current CPR certification
#OSS004013
Job Posted by ApplicantPro","Puyallup, WA",FULL_TIME
Paid Intern - Unscripted Development,"We are seeking smart, motivated interns for the Fall 2023 period, looking for exposure to unscripted television development and production. This will be an in person internship and a great opportunity for those who are interested in pursuing a career within development, production, creative affairs, or other related fields. Interns will gain insight and knowledge of the industry by way of practical work experience, such as script coverage, research, creating and maintaining lists of available actors, writers, and directors, and other various projects to gain exposure to all facets of the business.
Duties will include:Logging and updating company databases and development gridsCreating talent listsResearching up-and-coming talent, IP, and formatsWriting and designing one-sheets, treatments, and pitch decksPitching projects to the team
What we're looking for in candidates:Exceptional organizational and administrative skillsGreat interpersonal skillsInterested in gaining experience in both scripted and unscripted entertainmentAble to multitask in a fast-paced environmentHave a passion for television, film and digital contentFinger on the pulse of entertainment and pop cultureCan-do, no-task-too-small attitude","Los Angeles, CA",INTERNSHIP
Health Information Representative II,"The Health Compliance Health Information Representative II is the initial point of contact for students, parents, and the FIU community, who need to meet immunization and international insurance mandates set forth by the Florida Board of Governors. This position performs a wide variety of duties including customer service, document review/processing, and data entry.","Miami, FL",FULL_TIME
Director of Talent Acquisition,"About PrintfulPrintful is a company that helps individuals and companies build brands, fans, and successful e-commerce businesses. We enable these businesses with on-demand manufacturing of primarily apparel items that allow our clients to capture demand across a wide range of products, without overproducing inventory. As a result, we are a disruptive force in the apparel industry that better serves our clients, their customers, and the planet. We have a long history of sustained growth and ambitious plans to continue this growth organically and through acquisition. We are a global company, with operations in the US, Canada, Mexico, Latvia, UK, and Spain and more than 1,500 professional and production employees across those locations and working virtually. As a part of our growth strategy, we are looking for a Head of Talent Acquisition to design and apply strategies that will help us attract and hire top-tier talent to add to our dynamic team. 
The Director of Talent Acquisition responsibilities includes recruiting senior-level positions, managing a global team of recruiters, and crafting sourcing strategies for various roles, from entry-level to executive-level positions. You should be able to ensure we provide an excellent candidate experience across a range of roles, while meeting our business goals and filling our vacancies. You will also play a critical role in building a strong employer brand for our company so that we can develop robust talent pipelines for current and future hiring needs.
ResponsibilitiesEvaluate and refine sourcing and selection proceduresProvide leadership and manage a global team of recruitersAct as a strategic recruiter for senior positions at Printful Group (7-10 each year)Monitor the performance of recruiting programs using various KPIs, such as cost per hire, turnover rates, and time to hirePromote diversity in the workplace and ensure recruiting strategies attract diverse candidatesDesign and execute recruiting strategies to attract, evaluate and hire qualified candidatesEstablish protocols and procedures to leverage resources with agencies and external partnersDevelop and manage recruitment budgets, ensuring cost-effective strategies are implementedStay informed about local and global labor market dynamics and adapt recruitment strategiesProactively identify and address long and short-term hiring needsDevelop and streamline external and internal recruitment guidelines, policies, and processes Oversee and improve overall candidate experienceMaintain talent pipelines with potential candidates and past applicants for future staffing needsOrganize recruitment events to establish a strong employer brandParticipate in our company’s strategic planning regarding employee development and engagementEnsure proper onboarding and training for new hiresRequirements and skills10+ years of experience in talent acquisition management, with 5+ years in a leadership roleHands-on experience with candidate sourcing, interviewing, and evaluation, including with senior-level positionsIn-depth understanding of employment laws at the local, state, and federal levels and best practices in recruitingProficiency in relevant applicant tracking systemsExceptional leadership skillsSubstantial project and time management skillsExcellent verbal and written communications skillsBachelor’s or master’s degree in Human Resources, Business Administration, or a related fieldCertifications in talent acquisition and management are a plus
","Cincinnati, OH",FULL_TIME
Flooring Sales Associate,"We are looking for a Flooring Sales Associate to provide excellent customer service and meet sales quotas for our business. Candidates with strong communication skills who can make customers feel welcome in our store will stand out. You will help identify client needs, present and answer questions about our products and services and recommend solutions. A positive attitude and a desire to promptly resolve potential customer issues or complaints will make you successful in this role. Ultimately, you will ensure that customers leave our store satisfied and you will contribute to the store’s profitability.
ResponsibilitiesGreet and direct customersProvide accurate information (e.g. product features, pricing and after-sales services)Answer customers’ questions about specific products/servicesBeing aware and knowledgeable of all products and services offered in the store along with how they compareInteracting with customers and aiding them in deciding on which product to purchaseWorking and communicating with Sales-Representatives of each partnering manufacturerPlacing orders for customers, keeping up with the status of the orders, and updating customers on this statusMaintaining communication with your customers and ensuring their satisfaction with our serviceInform customers about discounts and special offersStay up-to-date with new products/services
SkillsUnderstanding of the sales processFamiliarity with consumer behavior principlesKnowledge of inventory stocking proceduresBasic math skillsExcellent communication skills, capable of building trusting relationshipsAbility to perform in fast-paced environments
We’re looking for someone with very strong communication and people skills as this is a customer service type of position, along with someone who is organized, patient, and responsible. Experience in the field is necessary as knowledge of the flooring options and the ordering process goes beyond simple training.Experienced Sales-Reps will be payed via commission off of sales profit beginning at 30% of profit on sales made. Starting percentage can change and payment method is negotiable based on performance. If you are experienced in sales but not flooring sales specifically, you are welcome to apply as well but will be payed hourly between $12-15/hr depending on responsibilities with an opportunity to earn commission as you progress in your skills.Please forward your resume/CV along with a description of why you would like this position and why you think you are fit for this position.If you have any questions or concerns, please don't hesitate to contact us.","Marietta, GA",FULL_TIME
Business Development Manager,"We care about our customers, the communities in which we operate and - of course – our team! That's why we offer uncapped commission opportunities, plus additional quarterly bonus opportunities, flexible PTO with a 401K matched at 5% and much more.The Reserves Network is looking for highly motivated sales professional with a proven track record of achieving and exceeding goals to join our team as an Account Executive or Business Development Manager. As a sales executive, you will be responsible for generating new business by developing strong relationships with prospective clients. Primary responsibilities include outside sales activities such as networking, lead generation, client meetings, drip marketing campaigns, etc. You will be responsible for the entire sales process from prospecting leads, creating customized proposals to closing the business.Why The Reserves Network?Recently named one of the Top 100 Staffing Companies to work for in 2023, The Reserves Network provides high-quality staffing solutions across a wide range of industries nationwide. Veteran founded in 1984, we operate in 40 states and growing, helping businesses find the right talent for their open positions while providing job seekers with career opportunities that match their skills and experience.Be a part of a stable and established company with historically strong performance and aggressive growth plans. TRN specializes in Industrial & Manufacturing, Office & Professional, Healthcare & Medical, Accounting & Finance, Information Technology, Engineering, Real Estate and Executive Search. Our pursuit of excellence means that you will be encouraged to contribute fresh new ideas. Your hard work and dedication will be rewarded with a competitive compensation plus great benefits including:Base salary plus unlimited commissionAffordable healthcare plans including 100% paid vision insurance & 50% paid dental insurance including orthodontic coverage. 401k program with company matching of 5%Flexible time off program with sick time allocationMileage & gym membership reimbursement Multiple tools and resources available to support your efforts including a personalized training and development program with a structured onboarding processSupportive sales team to collaborate and share ideas including a lead generator dedicated to your marketRelaxed office environment with professional casual dress code Career development and advancement opportunitiesResponsibilitiesSales generation, development of leads and business development for an assigned regional area through social networking, cold calling, and telemarketing. Cross selling into other markets as directed by your clients is highly encouraged and commissioned accordingly.Qualify potential new business for territory and negotiate pricing and payment terms based on corporate guidelines.Sales planning and relationship building with internal and external customersPartner with Regional Director to implement marketing strategies for the territoryMeet sales goals to meet and exceed metrics providedReport activity on a regular basis in our CRM system, Avionte BoldJob Requirements• Minimum of 2 years outside sales experience, preferably in a B2B capacity in a service industry• Staffing industry experience strongly preferred• Energetic, self-starter with a proven track record of achieving and exceeding sales goals• Must be able to communicate both orally and written in a clear, concise and effective manner• Strong problem-solving abilities• Must be able to conduct yourself in a professional manner in all situations• Technology savvy to navigate through our various tools and systems Additional InformationIf you are a driven, results-oriented Business Development professional who thrives in a fast-paced, dynamic environment, we encourage you to apply for this exciting opportunity!As an equal opportunity employer, we value our employees and foster an environment of respect, integrity, and trust in every aspect of employment. However, you identify and whatever your background, we encourage you to apply today.","Chillicothe, OH",FULL_TIME
Lead Software Engineer,"Who we are:Multi Media LLC is a technology company that builds digital products for the content creator economy. We are passionate about helping people earn additional income by providing user-friendly platforms that allow content creators to build safe and inclusive communities for meaningful virtual connections.Our latest product is Peach, an adult private messaging web application that enables personalized virtual chats between users globally. Peach allows content creators to share and sell media in a highly secure setting.We are hiring a Lead Software Engineer who will provide technical expertise to the engineering team and set high-quality code standards. The ideal candidate has a strong system design foundation and proven leadership skills.
What you’ll do:Architect technical solutions on a principal level.Lead the engineering team and evangelize technical excellence.Communicate effectively with stakeholders.Convert product ideas into technical specifications.Participate in agile ceremonies.Mentor and coach engineers.Write high-quality, secure & maintainable code.Follow best practices for test driven software development.Keep the code base organized and well-documented.
Skills and experience you already have:Experience in leading an engineering team.Experience creating and managing scalable web applications.Expertise in Python and Django.Expertise with Github integration and CI/CD pipelines.Experience working with and constructing APIs.Experience working with Postgres, Redis or similar.
Preferred qualifications:You’ve developed and shipped applications through Docker and understand containerization.Experience with cloud technologies such as AWS, GCP.You’ve leveraged front-end technologies like Javascript and Typescript in a professional setting.
What we offer:Fully remote optional and flexible work schedule.Health, Vision, Dental, and Life Insurance for you and any dependents, with policy premiums covered by the Company.401k plan with 5% matching.Long & Short term disability insurance.Unlimited PTO.Annual Year-End Company Closure.12 Paid Holidays.$125/week meals and grocery stipend via Sharebite.Employee wellness programs via Holisticly.EAP and Employee Recognition Programs.And much more!
The Base Salary range for this position is $160,000 - $190,000 USD annually. This range reflects base salary only and does not include additional compensation or benefits. The range displayed reflects the minimum and maximum range for a new hire across the US for the posted position. A candidate’s specific pay will be determined on a case-by-case basis and may vary based on the candidate’s job-related skills, relevant education, training, experience, certifications, and abilities of the candidate, as well as other factors unique to each candidate.
 Multi Media, LLC is an equal opportunity employer and strives for diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We encourage people from underrepresented groups to apply!",United States,FULL_TIME
Registered Behavior Technician (RBT),"KISS ABA operates as a comprehensive and consistent therapeutic support, creating optimal independence for individuals with disabilities.Description:· Working with individuals with Autism and other disorders/challenges and their families and caregivers in o home, o community, o clinic· Strong communication skills to ensure BCBA has all information to manage patient’s program effectively.· Provide direct ABA (Applied Behavior Analysis) therapy to children diagnosed with autism, ADHD, behavior disorders, or other developmental disabilities in 1:1 or group settings · Must be experienced and competent in ABA with a minimum of 1 year providing ABA therapy. · Demonstrate the ability to work collaboratively with other members of the team including the client, caregivers, outside professionals, supervising BCBA, and other therapists· Must be able to record accurate data via documenting either on data sheets or in provided data collection software as determined by Keeping it Specially Simple.· Maintain client confidentiality in accordance with HIPAA.· Must maintain any applicable certification, license, and training. Qualifications:· Strong ABA experience· High School Diploma Required· Experience in the implementation of behavioral assessment/treatment programs with children with developmental disabilities· Experience with Microsoft Office· Ability to provide, assess, interpret, and communicate client-specific data in response to treatment protocols· Must possess strong organizational and time management skills along with ability to manage multiple tasks· Must possess excellent verbal and written communication skills· Must possess excellent customer service skills Requirements:· High school diploma · RBT Certification · Valid driver’s license and auto insurance. · Reliable transportation· Certification and ongoing training in crisis intervention curriculum/safety training · Valid CPR/First Aid

Job Type: Full-time/Part-Time
Pay: hourly $18-$27/hour
Company's website: www.kissaba.com","Roswell, GA",FULL_TIME
Internship Offering: Fashion Upcycling Intern,"Are you a fashion student with a passion for sustainable fashion and creativity? Are you looking for an opportunity to apply your skills and make a positive impact on the industry? Look no further - we have the perfect internship for you!
At Zero Panik, we are dedicated to promoting sustainable fashion practices and reducing waste. 
Responsibilities- Interns will be responsible for sourcing items from Zero Panik.- Using your sewing skills and creativity, you will transform these items into one-of-a-kind, upcycled fashion pieces that will be sold in our online shop. The goal is to breathe new life into these damaged items and showcase their potential.- It is essential for interns to have their sewing equipment or have access to sewing equipment. This will enable you to work on the upcycling process independently.- We require interns to document their work throughout the internship. This includes taking photographs of the items before and after they are upcycled. We also encourage interns to capture video clips of the product creation process, as these can be used for marketing purposes.- As part of our commitment to sustainability, all fabric scraps and leftover items will be returned to Zero Panik for further recycling. This ensures that every aspect of the fashion design process is environmentally responsible.- Your hard work and creativity will not go unrecognized! All interns will have their photos, videos, and finished pieces displayed on our website, with accreditation to the student as the designer. This will provide you with valuable exposure and recognition within the industry.
Qualifications- Must be a fashion student currently studying in San Francisco- Possess strong sewing skills and creativity- Access to or ownership of sewing equipment- Ability to collect items from Zero Panik as needed- Strong attention to detail for documenting work through photographs and videos- Knowledge and passion for sustainable fashion practices","Daly City, CA",INTERNSHIP
Wellness Associate,"PART-TIME WELLNESS ASSOCIATE NEEDEDSole + Luna Wellness Studio is located in Winnetka and offers a variety of wellness modalities, workshops, meditations, and more.
We are looking for an energetic, motivated wellness warrior!Train to be knowledgable on our wellness machines and their benefits to comfortably speak to clientsEye for detail and anticipate client needs and accommodationsClean & prepare rooms between clientsResponsible for linens, towels, laundry and foldingNeed to be able to lift up to 30 pounds for various tasksRetail sales and training on our POS system for client check in, check out and purchasesAnswer phones and manage appointmentsTraining provided on our wellness machinesTraining provided on tea/drink preparationAbility to multitask when busy and being a self start when it's not.Estimated weekly hours are approximately 20 hours. M-Sat 9:30am-4pm, with possible occasional evenings for workshops and private events.Please send a brief email introduction, resume, and referencesJob Type: Part-time
Salary: $18.00 - $20.00 per hour
Expected hours: 20 – 25 per week
Benefits:Employee discountFlexible scheduleShift:Day shiftWeekly day range:Monday to FridayRotating weekendsWork Location: In person","Winnetka, IL",CONTRACT
Legal Assistant Paralegal,"[Remote; Full-Time] Workers’ rights law firm seeking a Legal Assistant/Paralegal to join a small team 
Job DutiesCommunicate effectively over the phone and in email with clients and potential clients to gather informationDraft timelines/chronologies that precisely track facts and evidence, as well as incorporating documentsManage documents across different cloud databasesCalendar deadlinesDraft correspondence and discovery documents
Compensation$25-$45/per hour, depending on qualifications and performanceMedical, dental, and vision401k with matchingEOY bonus based on firm and individual performance","California, United States",FULL_TIME
Sales Representative,"Sales Rep.Responsibilitiesmake contact with clients, provide tech and other customer services and maintain good relationships.QualificationsBasic hydraulic and fluid power acknowledgment and sales background.",Los Angeles Metropolitan Area,CONTRACT
General Manager,"About us
Bridger Built LLC is a General Construction company that focuses on commercial and residential new construction, renovations, and additions. We value our employees, customers, and maintain a family-like culture that is second to none.Bridger Built LLC is looking for a General Manager to join our team in the Phoenix, AZ area. This is a full-time position with benefits.
Job Description:The General Manager will manage all facets of the daily field operations of a general construction company.Coordinate with Project Managers and oversee all aspects of project activities, including scheduling, design, construction, and installation.Oversee the purchasing of inventory and materials for each job, through Buildertrend, in conjunction with the assigned Project Manager.Continuous improvement of the customer experience.Work with Project Managers to ensure that all required documents are completed and that all necessary planning and execution takes place daily.Onboard and schedule subcontractors and vendors as needed.Manager subcontractors in all verticals and develop a Depth Chart.Lead a collaborative field planning process.Coordinate jobsite logistics with your team and maintain professional relationships with all stakeholders.Coordinate field operations back up plans in instances of work delay, materials, and labor shortages.Perform other duties as assigned by Regional Director.
Job Type: Full-time
Salary: $82,981.00 - $90,309.00 per year
Technology Requirements● Intermediate level proficiency in MS Word, MS Excel, PowerPoint & MS Project.● Daily use of Company CRM/Project Management software.● Intermediate level proficiency in Google Gmail and suite.● Proficiency in use of Smartphones and Tablets including taking and sendingphotographs, voice memos, accessing cloud-based document storage,communicating via email, adding and managing attachment Experience.● Residential and Commercial Construction Experience. 10 years.● Residential and Commercial Construction Supervisory experience. 5 years.Education● Bachelors in a related field of study preferred.● Experience is taken into consideration.Compensation & Benefits● Salary Structure: Base + Quarterly Performance Based Bonus.● Company vehicle● Opportunity to participate in Company Healthcare plan.● Opportunity to participate in company 401k.● Opportunity to participate in company sponsored individual life insuranceprogram.",Greater Phoenix Area,FULL_TIME
Mid-Level Tax Associate,"Meltzer Lippe is currently seeking to hire a graduate with an LLM in taxation. Areas of practice include domestic and international tax planning for high net worth individuals, closely held businesses, investment real estate, sales, exchanges, lease and property refinancing. IRC Section 1031 tax-free exchanges, installment sales, long term lease agreements and sale-leasebacks. Business and investment transactions, tax-free reorganization and exchanges, business transfer and restructurings. 
About Meltzer, Lippe, Goldstein & Breitstone, LLP Founded in 1970, Meltzer, Lippe, Goldstein & Breitstone, LLP is a cutting edge law firm combining the best features of small firms with top level talent from major metropolitan law firms and functions in 15 practice areas. The firm employs over 70 attorneys who counsel a broad range of clients, including private business owners, corporate executives working at both public and private companies, major real estate developers and organizations, venture capitalists and individuals worldwide. 
Our practice areas include: Bankruptcy, Workouts & Creditors’ Rights; Business & Real Estate Taxation; Construction; Corporate/Business; Crisis Management, Investigations & Constitutional Law; Government Strategies; Labor & Employment; Litigation; Mental Health, Guardianship & Elder Law Litigation; Private Wealth & Taxation; Real Estate; Social Media, Software & Privacy; Tax Exempt Organizations; Trust & Estate Litigation; and Trusts & Estates. We invite you to learn more about our firm by visiting www.meltzerlippe.com.
","Mineola, NY",FULL_TIME
